Pos.,Topic SourceTitle,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,0,WOS:000424679800010,2017,Asthenia and Adinamia in a Patient with Schizoaffective Disorder: Not Everything is in the Mind,"A 53-year-old patient with previous history of schizoid-affective disorder consulted for asthenia and adynamia, was diagnosed as depressive crisis and was hospitalized in an acute mental health unit. Malnutrition, ferropenic anemia and hypovitaminosis B12 were noticed. The approach to the patient with severe mental disorder must be free of the stigma related to the mental illness in order to offer integral and optimal health care services.",Article,"Rodriguez, M.; Rosselli, D.",mental disorders; nutritional status; comorbidity; schizoaffective; anemia,mental disorders;nutritional status;comorbidity;schizoaffective;anemia,Colombia,
,,,0,WOS:000530129100010,2020,A Thematic Review of Patient's Expectations Regarding Physician's Behavior,"Introduction: Nowadays, medical practice emphasizes towards patient-centered care models, which is consistent with the nature of the medical profession. This model has tremendous advantages, especially in the context of a healthcare system that is in crisis. Considering that patients' satisfaction is an important indicator of quality of care that depends on expectations, its evaluation may lead to a better understanding of factors that can modify the perception of care. Moreover, the evaluation of this factors could improve health outcomes, thus reducing costs in the long run. Purpose: To make a literature review of the expectations of patients regarding doctors' behavior was performed. Materials and methods: A search on PubMed, Lilacs and Embase databases was made with MeSH terms and free terms. Results: 46 articles met the stablished inclusion criteria. 4 key aspects concerning patients' expectations were defined: Trust, respect (autonomy), empathy and communication. Conclusions: Even if numerous investigations on this matter have been made, findings are very heterogeneous. Most of the times similar key aspects are explored, however, expectations vary depending on cultural differences and their characteristics. Thus, local investigation is suggested to explore expectations of individuals.",Review,"Rivera, A.M.; Bermudez, M.B.; Gomez-Restrepo, C.",patient preference; communication; empathy; trust; physician-patients relation,patient preference;communication;empathy;trust;physician-patients relation;PRIMARY-CARE;HEALTH-CARE;SATISFACTION;PERCEPTIONS;COMPETENCE;SYMPATHY;IMPROVE;DOCTORS,Colombia,
,,,0,WOS:000424679400011,2017,Bronchial carcinoid tumor in pediatrics: case report,"Lung primary tumors are bizarre in pediatrics. Among them, carcinoid bronchial tumor is the most common. The classical manifestation is recurrent respiratory tract infection, but the clinical presentation can be variable. We report the case of a 14 yearsold patient with chest pain and respiratory symptoms.",Article,"Hernandez, M.D.; Soler, A.M.; Arjona, J.S.",carcinoid tumor; primary lung tumor; pediatrics,carcinoid tumor;primary lung tumor;pediatrics;EXPERIENCE,Colombia,
,,,0,WOS:000424679400009,2017,Bungner Cell,"Peripheral nerve injuries are a common clinical condition for which the understanding of the pathophysiology and advances in the field of nerve regeneration are important to provide the best treatment for patients. In recent years, it has been giving increasing importance to the regenerative events a. er injury, where it operates largely unique phenotypic expression in this process, derived from cells already present, key event for the recovery of nerve function injured. A review of the literature is done with the aim of a better understanding of this regenerative event, finding a series of cellular and molecular processes that go on axonal level.",Article,"Ramirez, L.E.N.; Arciniegas, S.C.T.; Rosado, E.C.R.; Jimenez, I.A.T.; Casas, S.D.C.",nerve; Wallerian degeneration; Schwann cells; nerve regeneration,nerve;Wallerian degeneration;Schwann cells;nerve regeneration;SCHWANN-CELLS;RECONSTRUCTION;REPAIR,Colombia,
,,,0,WOS:000766811200006,2022,"Cardiopulmonar Resuscitation. When the Heart Stops, Resucitate or Keep Company?","Cardiopulmonary resuscitation (CPR) introduces an important paradigm shift regarding the revert of death, which generates great expectations in the general public and even so in physicians. However, despite tha fact that medical progress has led to improved outcomes, short- and long-term survival remains low, accompanied with significant alterations in quality of life and functionality of survivors. Recognizing this reality, ""do not resuscitate orders"" (DNR) emerge as an alternative and various societies suggest the need to establish indications, whether to start a CPR and when to stop CPR. This article provides tools for decision making on CPR, and to recognize our human limitation in the face of death, understanding that the most beneficial act in many cases will be to keep company and not resucitate.",Article,"Muskus, N.O.; Gempeler-Rueda, F.E.",cardiopulmonary arrest; cardio pulmonary resuscitation; do not resuscitate order; bioethical issues; clinical ethicist; advance directive,cardiopulmonary arrest;cardio pulmonary resuscitation;do not resuscitate order;bioethical issues;clinical ethicist;advance directive;HOSPITAL CARDIAC-ARREST;GUIDELINES;SURVIVAL;EPIDEMIOLOGY,Colombia,
,,,0,WOS:000424680700002,2017,"Case-Control Study Factors Associated with Transient Neonatal Hypoglycemia in Healthy Newborns, at Hospital Universitario San Ignacio","Objective: To determinate risk factors associated to neonatal hypoglycemia in healthy newborns. Materials and methods: Case-control study nested in a retrospective cohort. Logistic regression analysis. Results: 40 cases and 40 controls were evaluated. The main risk factors according to the literature were reported. Skin to skin care was found as an isolated protective factor to develop neonatal hypoglycemia, although, the regression logistic analysis showed, that only the need to enhance feeding with formula was a risk factor to develop neonatal hypoglycemia (OR=9). Conclusion: Inadequate exclusive breastfeeding remains the major risk factor for transient neonatal hypoglycaemia in healthy term newborn, leading to increased use of formula.",Article,"Berttoloto, A.M.; Vaca, Y.A.V.; Guzman, P.C.; Casas, A.D.M.; Pena, L.J.M.",hypoglycemia; newborn; risk factors,hypoglycemia;newborn;risk factors;GESTATIONAL-AGE;LATE-PRETERM;TERM;MORBIDITY,Colombia,
,,,0,WOS:000500945400009,2020,Characterization of Pediatric Patients Diagnosed with Post-Infectious Bronchiolitis Obliterans 2600 Meters above Sea Level,"Aim: To characterize a group of pediatric patients diagnosed with post-infectious bronchiolitis obliterans (PIBO) at a university hospital in Bogota. Methods: A total of 2,635 PIBO-compatible clinical histories were reviewed. Pre-defined inclusion and exclusion criteria were applied, and 19 cases were retrieved and used to develop an observational, descriptive, and retrospective study. Results: The mean age for developing acute lower respiratory tract infection (ALRTI) was 18 months. The average hospitalization was 14.5 days, 21.5% of patients required attention at a pediatric intensive care unit (PICU), and mechanical ventilation was applied for 10% of these cases. A total of 30% of the patients had microbiological isolation, 10.5% corresponded to a respiratory syncytial virus (RSV), and 5% corresponded to a mixed isolation (adenovirus and RSV). All patients had chest high-resolution computed tomography (HRCT) scans, which revealed a mosaic pattern of attenuation in 89.4% of all cases. Conclusions: The sample showed clinical and radiological characteristics similar to those described in other case series worldwide.",Article,"Viracacha, I.M.G.; Galvis, M.D.P.; Centenaro, O.P.P.; Cano, D.C.E.; Ramirez, A.M.S.; Arguello, D.C.E.; Sanchez, O.C.F.",bronchiolitis obliterans; pediatrics; adenoviridae,bronchiolitis obliterans;pediatrics;adenoviridae;RISK-FACTORS;MANAGEMENT;FEATURES;CHILDREN,Colombia,
,,,0,WOS:000445777600003,2018,"Characterization of Refractive Errors in a Population of Children from 2 to 14 Years of Age in Bogota, Colombia","Introduction: Refractive errors can have important repercussions in the performance of an individual, especially in the pediatric community. Objective: To determine the prevalence of refractive errors within a sample of 112 children between the ages of 2 and 14 from the Colegio La Candelaria in the city of Bogota. Methods: Cross-sectional study that evaluated through visual acuity, ocular motility, ophthalmoscopy, retinoscopy, and subjective exam, the visual capacity of the children in question. Results: We found a prevalence of refractive errors of 18.8% where 13.4% represented astigmatism, 3.6% hypermetropia and 1.8% myopia. Discussion: These results were compared with those exposed on a thesis performed in 1973 by which patients with similar conditions were tested. In this study, the refractive errors were of 30.48%, a difference that can be explained by variations in population characteristics. Lastly, it arises the need of screening in other communities.",Article,"Lince-Rivera, I.; Camacho, G.E.; Kunzel-Gallo, A.",astigmatism; hypermetropia; myopia; prevalence; children,astigmatism;hypermetropia;myopia;prevalence;children;SCHOOL-CHILDREN,Colombia,
,,,0,WOS:000424680700010,2017,Chordoma in C4 Facet Joint: A Case Report,"Chordoma are rare primary bone tumours derived from non-differentiated remains of the notochord. Due to their histological origins, the most common site of presentation is on the mid-line of the axial skeleton, with a distribution that is most frequent on the sacral bone, skull base and mobile spine. These tumours have a slow growth rate, which means that symptoms occur when the size of the mass causes different manifestations according to its site of presentation. However, they have aggressive behaviour with high rates of local recurrence. Ideal treatment is based on surgical block removal if possible. This article presents the case of a 20-year-old male patient with diagnosis of a chordoma on the le. superior facetary articulation of C4.",Article,"Calvo, M.G.; Gonzalez, J.C.A.; Berbeo, M.E.",joint; zygapophyseal; tumour; chordoma; pain,joint;zygapophyseal;tumour;chordoma;pain;UPPER CERVICAL-SPINE;IMAGING FEATURES,Colombia,
,,,0,WOS:000669409700004,2021,Chronic Subdural Hematoma. An Update and Review,"Chronic subdural hematoma is one of the most frequent entities in neurosurgical practice, therefore, its diagnosis and treatment improves the prognosis of patients. The most frequent factor involved is trauma, although, other factors as anticoagulation, comorbidities and cerebral atrophy may also play an important role. Historically, surgical treatment has been the treatment of choice, however, when it is recurrent, other treatments as embolization of the middle meningeal artery are proposed. The aim of this article is to describe the general concepts of chronic subdural hematoma with an emphasis on the embolization of the middle meningeal artery as a treatment for chronic recurrent subdural hematoma. No conflicts of interest are declared in this review.",Review,"Vega, J.C.G.; Qa, M.X.R.",embolization; chronic subdural hematoma; recurrence; meningeal arteries; craniotomy,embolization;chronic subdural hematoma;recurrence;meningeal arteries;craniotomy;MIDDLE MENINGEAL ARTERY;BURR-HOLE CRANIOSTOMY;NONSURGICAL TREATMENT;SURGICAL-MANAGEMENT;DRAINAGE;SURGERY;HEMORRHAGE;PATIENT,Colombia,
,,,0,WOS:000424679800004,2017,"Clinical Bioethics by the Patient's Side. Development and Experience of ""Clinical Ethics Service"" in a University Hospital","In this paper, the creation of a Clinical Ethics Service in a high complexity university hospital in Bogota, Colombia, is described and the results after its first two years of operation are analyzed.",Article,"Rueda, F.E.G.; Almonacid, L.T.; Herrera, J.M.S.",bioethics; ethics; medical; humanization of assistance,bioethics;ethics;medical;humanization of assistance;CARE;CONSULTATION;UK;DILEMMAS;SUPPORT;LIFE,Colombia,
,,,0,WOS:000424681100004,2017,Clinical Practice Guideline for Treatment of type 2 Diabetes Mellitus: erapeutic Targets,"Introduction: It is demonstrated that reach and maintain a glycated hemoglobin (HbA1c) of 7% reduce the incidence of macro and micro vascular complications in young adults with type 2 diabetes. It has been proposed that this therapeutic goal must be individualized in patients older than 65 years or in those with previous cardiovascular disease, however the evidence supporting this adjustment is controversial. Aim: To define the risk and benefits of intensified therapy to achieve HbA1 <7% in DMT2 patients older than 65 years, with or without significant comorbidities, and in patients with previous cardiovascular events. Methods: A clinical practice guide has been developed following the broad outline of the methodological guide from the Colombian Ministry of Health and Social Welfare, with the aim of systematically gathering scientific evidence and formulating recommendations using the GRADE methodology. Conclusions: In patients with DMT2 who are older than 65 years of age, and in those with antecedents of cardiovascular disease it is recommended not to intensify treatment to reach HbA1c values close to normal (<6,5% HbA1c). The therapeutic goals in patients older than 65 years should be individualized according with an integral evaluation considering hypoglycemia risk and life-threatening situation.",Article,"Aschner, P.; Munoz, O.M.; Giron, D.; Garcia, O.M.; Fernandez, D.G.; Casas, L.A.; Bohorquez, L.F.; Arango, C.M.; Carvajal, L.; Ramirez, D.A.; Sarmiento, J.G.; Colon, C.A.; Correa, N.F.; Alarcon, P.; Bustamante, A.A.; Fino, V.; Penagos, E.",type 2 diabetes mellitus; goals; clinical practice guidelines,type 2 diabetes mellitus;goals;clinical practice guidelines;INTENSIVE GLUCOSE CONTROL;COMPLICATIONS;MANAGEMENT;OLDER;HYPERGLYCEMIA;OUTCOMES;DISEASE;RISK,Colombia,
,,,0,WOS:000424681100003,2017,Clinical Practice Guideline for Treatment of Type 2 Diabetes Mellitus: Initial Treatment,"Introduction: Today, metformin is widely accepted as standard initial pharmacologic treatment for diabetes mellitus type 2 (DMT2). However, it is controversial if in some groups of patients, the treatment can be initiated only with life style changes, or if there are groups who should begin with combined therapy since the beginning. Aim: To define the effect of intensive strategies for change of diet or exercise, and the effect of combined therapy with metformin and a second oral antidiabetic, as initial treatment in patients with newly DMT2. Methods: A clinical practice guide has been developed following the broad outline of the methodological guide from the Colombian Ministry of Health and Social Welfare. with the aim of systematically gathering scientific evidence and formulating recommendations using the GRADE (Grading of Recommendations Assessment, Development and Evaluation) methodology. Conclusions: In patients with recently diagnosed DMT2, initial treatment with lifestyle changes only is not recommended. However, it is recommended that lifestyles changes must begin simultaneously with metformin, including the components of a Mediterranean diet and aerobic exercise. In patients with recently diagnosed DMT2 and HbA1c levels >8%, it is recommended to administer a combined therapy from the beginning with metformin and another oral antidiabetic medication. The DPP4 inhibitor is recommended.",Article,"Aschner, P.; Munoz, O.M.; Giron, D.; Garcia, O.M.; Fernandez, D.G.; Casas, L.A.; Bohorquez, L.F.; Arango, C.M.; Carvajal, L.; Ramirez, D.A.; Sarmiento, J.G.; Colon, C.A.; Correa, N.F.; Alarcon, P.; Bustamante, A.",type 2 diabetes mellitus; metformin; primary treatment; clinical practice guidelines,type 2 diabetes mellitus;metformin;primary treatment;clinical practice guidelines;DIPEPTIDYL PEPTIDASE-4 INHIBITORS;PHYSICAL-ACTIVITY;COMBINATION THERAPY;GLYCEMIC CONTROL;METAANALYSIS;MONOTHERAPY;ROSIGLITAZONE;RISK;DIET,Colombia,
,,,0,WOS:000766811200007,2022,Cocaine-Induced Severe Bronchospasm: A Case Report,"The consumption of psychoactive substances represents today in our country and worldwide a public health problem. Among these, cocaine occupies an important place, in terms of frequency of consumption, associated with the need to use emergency medical services due to complications derived from intoxication and overdose with exposure to it. The clinical effects are fully characterized, but bronchospasm is not clearly and commonly identified within these. Among the risk factors for its generation, we find inhalation exposure and patient comorbidity, among which asthma accounts for the most cases. For this reason, it is essential to identify said complications associated with contact with this substance. We present a case in which the patient develops severe bronchospasm with a requirement for mechanical ventilation.",Article,"Torres, E.E.C.; Castro, O.C.; Cordoba, J.F.P.",bronchospasm; cocaine; asthma; psychoactive substances,bronchospasm;cocaine;asthma;psychoactive substances,Colombia,
,,,0,WOS:000483650700003,2019,"Cognitive Frailty, an Evolving Challenge","The main challenges facing the increase of elderly population are the frailty and cognitive impairment, which are related to increasing disability, worse quality of life and cognitive decline. During the last years, it has been proved the two-way relationship between frailty and cognitive impairment, hence the concept cognitive frailty emerged by an international consensus group on 2013 in Toulouse (France). This reversible stage has been considered a new geriatric syndrome characterized by the coexistence between physical frailty and cognitive impairment, however, there is no consensus regarding diagnostic criteria. The objective of this study is to make an approach to the definition pathophysiology, and diagnostic instruments, and their respective association with adverse outcomes, to make an opportune diagnosis and apply multi-domain interventions focused on physical activity, nutritional focus and cognitive training, which can modify the course of this dynamic and reversible state by preventing functional impairment and improving the quality of life for the elderly.",Review,"Chacon-Valenzuela, E.; Morros-Gonzalez, E.; Beltran, M.P.V.; Venegas-Sanabria, L.C.; Arteaga, R.C.G.; Carvajal, D.C.; Cano-Gutierrez, C.",frailty; memory; motility; elderly; cognition,frailty;memory;motility;elderly;cognition;OLDER-ADULTS;INFLAMMATION;IMPAIRMENT;AGE;PREVALENCE;CONSENSUS;OUTCOMES;HEALTH;MODEL,Colombia,
,,,0,WOS:000424681100002,2017,Colombian Clinical Practice Guideline for Treatment of Type 2 Diabetes Mellitus: First Line Treatment Failure,"Introduction:. ere are different options to treat type 2 diabetes (DMT2) patients who began treatment with metformin and have not reached therapeutic golds. It is imperative to define rules to choose the best option, in these patients, as in those who have not achieved an optimal control under combined therapy. Aim: To define the best option between sulfonylureas, thiazolidinediones, DPP4 inhibitors, GLP-1 agonist or basal insulin, as second or third line treatment, in patients with DMT2 who have not reached therapeutic golds with metformin or combined therapy. Methods: A clinical practice guide has been developed following the broad outline of the methodological guide from the Colombian Ministry of Health and Social Welfare, with the aim of systematically gathering scientific evidence and formulating recommendations using the GRADE (Grading of Recommendations Assessment, Development and Evaluation) methodology. Conclusions: In patients with DMT2 who did not reach their therapeutic goal with metformin as a monotherapy (Hb1Ac <7%), addition of a second oral antidiabetic medication is recommended. it is recommended as a first step to add a DPP-4 inhibitor. It is suggested to add a SGLT2 inhibitor or a sulfonylurea having low risk of hypoglycemia as acceptable options. It is suggested to add basal insulin as a third antidiabetic medication if the combination of two pharmacological treatments does not enable the patient to reach and maintain the HbA1c goal. It is suggested to add a GLP-1 agonist if therapeutic failure appears in patients who remain obese (BMI >= 30 kg/m(2)), considering its potential to reduce weight.",Article,"Aschner, P.; Munoz, O.M.; Giron, D.; Garcia, O.M.; Fernandez, D.G.; Casas, L.A.; Bohorquez, L.F.; Arango, C.M.; Carvajal, L.; Ramirez, D.A.; Sarmiento, J.G.; Colon, C.A.; Correa, N.F.; Alarcon, P.; Bustamante, A.A.",type 2 diabetes mellitus; metformin; treatment failure; clinical practice guidelines,type 2 diabetes mellitus;metformin;treatment failure;clinical practice guidelines;METAANALYSIS;INHIBITORS;MANAGEMENT;EVENTS,Colombia,
,,,0,WOS:000457095800007,2018,Colonization by Pneumocystis jirovecii in Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease (COPD) is a prevalent disease in our population, which characteristically has a progressive deterioration and alters the quality of life of patients. Only 15-20% of patients with a history of smoking develop the disease, so there are additional environmental and genetic factors that influence the progression of the disease. Of the infectious causes that have taken importance is Pneumocystis jirovecii, this is a ubiquitous fungus that comes into contact with the airway of humans since childhood and is a cause of pneumonia in immunosuppressed patients. In addition, high rates of colonization have been reported in patients with COPD, which increase with the severity of the disease. COPD and P. jirovecii infection appear to share a similar immune response, which may explain the role of fungal colonization in the progression and severity of the disease.",Review,"Canas, A.; Garzon, J.R.; Hernandez, C.; Burbano, J.F.; Cita, J.E.; Parra, C.M.",Pneumocystis jirovecii; pulmonary disease chronic obstructive; immunology,Pneumocystis jirovecii;pulmonary disease chronic obstructive;immunology;CYSTIC-FIBROSIS;PREVALENCE;INFECTION;LUNGS;COPD;TRANSMISSION;PATHOGENESIS;EXPRESSION;DIAGNOSIS;SEVERITY,Colombia,
,,,0,WOS:000609364900002,2021,Community Acquired Pneumonia as a Result of Singultus in an-HIV Patient: Case Report and Literature Review,"Singultus is a common clinical manifestation of multifactorial etiology. It works as a reflex arc against irritative noxas and is mediated by sympathetic stimulation. Among its causes it has been described that infectious processes such as pneumonia can result in singultus, however, it corresponds to a low percentage of the causes. We present a case of a 34-year-old man with history of stage 3 HIV infection that presents to emergency room with singultus with no other clinical signs, in whom the presence of community acquired pneumonia as etiology is demonstrated. This case highlights the importance of the study of singultus especially in patients with immunosuppression since in these patients the clinical presentation that underlies an infectious process is not usually evident.",Review,"Martinez-Vernaza, S.; Salej, V.; Jaimes-Reyes, M.A.; Bustamante, A.A.",hiccup; pneumonia; HIV,hiccup;pneumonia;HIV;HICCUPS,Colombia,
,,,0,WOS:000637022700006,2021,Competency-Based Medical Education: Scoping Review,"Introduction: The competency-based education model is increasingly common for undergraduate medicine training. However, there is a lack of consensus on the concept of competence that can limit the understanding and analysis of the curricular programs that use it. Objective: To analyze the definitions and applications of the terms competency-based curriculum (CBC) and competency-based assessment (EvBC) in the medical education literature to propose a conceptual framework in undergraduate medicine programs. Method: Scoping review with searches in six databases. Publications about competency assessment or CBC in the medical area, specifically in undergraduate programs, during the last three decades. Results: Of 3618 articles, 89 were preselected for full review. 34 articles were included. The qualitative analysis generated 4 main categories and 14 subordinate categories. Conclusions: Although there is no consensus that defines competence, CBC and EvBC, the decision to implement a CBC in an undergraduate medical program implies recognition of the social and regulatory context and a progressive development that responds to particular needs, which may be related to all levels of learning.",Review,"Mantilla, G.C.; Ariza, K.; Santamaria, A.; Moreno, S.",competency-based education; undergraduate medical education; medical education; educational assessment; learning,competency-based education;undergraduate medical education;medical education;educational assessment;learning;INFORMAL CURRICULUM;LEARNING OUTCOMES;GUIDE;TOOL;PROFESSIONALISM;UNIVERSITY;SCHOOL,Colombia,
,,,0,WOS:000500945400002,2020,Cost-Effectiveness Analysis Applied to the Treatment of Unruptured Anterior Circulation Aneurysms in a Middle-Income Country,"Objective: Controversy exists regarding the best treatment option for unruptured anterior circulation aneurysms (UA); thus, we performed a long-term cost-effectiveness analysis comparing different treatment options from an economic standpoint. Methods: A decision-tree model was built based on a hypothetical cohort of 1,000 patients undergoing treatment for UA. Health outcomes and cost analysis were modeled over the projected lifetime. All treatment outcome probabilities and likelihood ratios were obtained from major natural history and outcome studies. Costs were assessed from the societal perspective of the general healthcare system in Colombia. A univariate sensitivity analysis was conducted to evaluate the impact and significance of the results. Results: Significant differences were shown in treatment cost and total effectiveness. SC had a mean treatment cost of US$2,322 and a cost-effectiveness ratio of US $2,735 (EC: US$4,650 and US$5,798). A univariate sensitivity analysis showed that the total cost-effectiveness of SC remained dominantly superior to EC. Conclusions: From an economic standpoint, results show that SC is the most cost-effective treatment alternative in a middle-income country. These results must be taken into account during the decision-making process for the treatment of intracranial aneurysms, especially in those countries where cost-effective measures are of vital importance. Nevertheless, further studies are warranted in different healthcare-system settings.",Article,"Harker, P.; Quitian-Reyes, H.; Feo-Lee, O.H.; Iragorri, N.; Puentes, J.C.",cost-effectiveness; intracranial aneurysm; endovascular coiling; surgical clipping,cost-effectiveness;intracranial aneurysm;endovascular coiling;surgical clipping;RUPTURED INTRACRANIAL ANEURYSMS;INTERNAL CAROTID-ARTERY;ENDOVASCULAR TREATMENT;CEREBRAL ANEURYSMS;COIL EMBOLIZATION;ELECTROTHROMBOSIS;HISTORY;TRIAL,Colombia,
,,,0,WOS:000457095800011,2018,Cutaneous Angiosarcoma Nasal Region treated with Radiation Therapy: Case Report,"Cutaneous angiosarcoma is a rare tumor with a tendency to be located in the head and neck especially on the scalp and face. It is considered a rapidly growing tumor and often causes distant metastases. The treatment of this tumor is not clearly defined and is based on retrospective studies and case reports, still seems the best option handling surgery with wide local excision and possibly with negative margins and subsequently adjuvant radiotherapy due to the high rate relapse presented by these tumors. We report the case of a patient of 91 years who received exclusive management with radiotherapy hypofractionated presenting complete response at 3 months after completion and remaining free of disease until the date of this report, 16 months after radiotherapy.",Article,"Forero, R.A.S.; Jaramillo, L.F.; Ramirez, J.",angiosarcoma; skin neoplasms; radiotherapy; treatment,angiosarcoma;skin neoplasms;radiotherapy;treatment;PROGNOSTIC-FACTORS;TREATMENT OUTCOMES;SCALP;FACE,Colombia,
,,,0,WOS:000424679800009,2017,"Cutaneous Leishmaniasis in the region of Magdalena Centro in the Department of Cundinamarca, Colombia. A Series of Cases","The objective of this research is to describe the different demographic and clinical characteristics of a series of patients with Cutaneous Leishmaniasis in a municipality in the Magdalena Center region of the department of Cundinamarca, Colombia. In the present article we reported 13 patients with cutaneous Leishmaniasis in a period of time between August 2015 and May 2016, in a primary care center located in Bituima where people with insurance subsidized by the state are attended. This municipality is located between 1250 and 2250 meters over the sea level, 2 hours far from Bogota, the capital of Colombia. The population is mainly rural located out of the town. The initial clinical presentation was varied, however, all the cases presented at the first medical visit with painless ulcer. There is a period of almost two months between the appearance of the injury and the first medical appointment. Cases were confirmed by direct leishmaniasis, treatment with Glucantime was given. In conclusion, a high frequency of the disease is reported in this period of time in the municipality. Strategies should be strengthened to shorten the time between the onset of the ulcer and the first medical evaluation.",Article,"Lee, H.G.; Araujo, G.L.; Duarte, H.G.",leishmaniasis; cutaneous; Colombia; lutzomyia,leishmaniasis;cutaneous;Colombia;lutzomyia,Colombia,
,,,0,WOS:000486590400009,2019,Cystic Testicular Lesion in an Infant: Diagnostic and Therapeutic Considerations,"Introduction: Prepuberal testicular tumors are usually benign. Cystic lesions constitute a wide group of scrotal benign masses differentials in children. An appropriate evaluation comprises a complete clinical exam, Doppler ultrasonography and tumor markers. If a benign lesion is likely, testis-sparing surgery is the treatment of choice. Objective: To describe the case of an infant with a cystic testicular mass compatible with epidermoid cyst. Furthermore, to discuss the most relevant clinical, diagnostic and therapeutic aspects of prepubertal testicular lesions. Case report: An infant was admitted due to identification of a painless well-defined testicular mass of approximately 1 cm of diameter. Ultrasonography showed an intraparenchymal simple cyst and tumor markers were negative. Complete enucleation was performed via scrotal approach without postoperative complications. Histopathological study was compatible with a testicular epidermoid cyst. There was no evidence of recurrence or atrophy at 3-year follow-up. Discussion and conclusion: Since most prepuberal testicular tumors are benign, testis-sparing surgery constitutes a therapeutic alternative in small, circumscribed, avascular lesions with negative tumor markers.",Article,"Villarreal, L.G.; Rivera, F.A.E.; Reales, V.D.A.",epidermoid cyst; testicular neoplasms; children; Doppler ultrasonography,epidermoid cyst;testicular neoplasms;children;Doppler ultrasonography;TESTIS-SPARING SURGERY;EPIDERMOID CYSTS;PARATESTICULAR TUMORS;ORCHIECTOMY;ULTRASOUND;MASSES,Colombia,
,,,0,WOS:000465302400010,2019,Decompressive Craniectomy for Empyema by Aggregatibacter aphrophilus: Literature Review and Case Report,"The subdural empyema is a rare pathology that normally occurs secondary to another infection in the skull-facial complex, could be medial otitis or sinusitis in most of the cases, that's why the germs associated with this pathology are normally the same found in the middle ear and paranasal sinuses. Eventually a rare microorganism causes an abscess, this is the case of this patient, who arrived to the hospital with ocular pain and rapidly progress with neurological deficit cause by a bacteria called Aggregatibacter aphrophilus. The case had a fast intervention of all the services involved, neurosurgery made an empyema drainage by burr hole, after that the patient required ventriculostomy and finally decompressive craniectomy. The objective of this review of the literature is to determine what does the evidence say about the empyema drainage by burr hole or the early use of craniectomy in this kind of patients.",Review,"Lee, O.F.; Patino-Ladino, S.I.",craniectomy; craniotomy; subdural empyema; Aggregatibacter aphrophilus,craniectomy;craniotomy;subdural empyema;Aggregatibacter aphrophilus,Colombia,
,,,0,WOS:000766811200003,2022,Determinants of the Consumption of Sugary Drinks and Intervention Strategies Related to their Intake: Scoping Review,"Introduction: The consumption of sugar-sweetened beverages (SSB) has been reported as a public health problem due to its relation with the appearance of chronic noncommunicable diseases. Objective: To analyze determining factors in the consumption of sugar-sweetened beverages and the interventions carried out to reduce its consumption. Method: A review article based on the consultation of nine databases, included articles published during the period 2010-2021, which were consolidated in a matrix in Excel. The results were analyzed on the basis of 4 levels of analysis: 4 categories of determinants and 1 of interventions. Results: 79 articles were analyzed. 19 results from Latin America were obtained from Mexico, Brazil, Chile, Argentina and Peru. At the Colombian level 12 articles were found, in addition to the 9 articles conducted at Bogota by educational institutions, and 3 more at the Pontificia Universidad Javeriana. Conclusions: The main determinants of SSB consumption were: Low income, being an adolescent or young adult, male, limited knowledge about the relationship between SSB and health and availability of foods with high caloric density, among others. The most promising interventions are the SSB tax and front labeling.",Review,"Robelto, G.E.; Mantilla, G.C.; Olaya, G.; Fonseca, M.F.; Herrera, A.V.; Otalora, M.C.",sugar-sweetened beverages; public health; chronic diseases; interventions and consumption,sugar-sweetened beverages;public health;chronic diseases;interventions and consumption;SWEETENED BEVERAGE CONSUMPTION;PHYSICAL-ACTIVITY;SCHOOLCHILDREN;CHILDREN;STATES,Colombia,
,,,0,WOS:000637022700005,2021,Diabetic Neuropathy and its Association with Anxiety Symptoms,"Introduction: Diabetic neuropathy is a microvascular complication of diabetes mellitus. It is characterized by involvement in the nerves that produce a pain like rush, burn or stitch. This neuropathic pain has been associated with a high risk of anxiety in patients with it, thus generating a more significant economic burden in patients with symptomatic diabetic neuropathy. Aim: To describe current literature on the relationship between symptomatic diabetic Neuropathy and the risk of concomitant anxiety symptoms. Method: We carried out a similar search by four reviewers in the Ovid, Pubmed, SciELO, and Cochrane databases. Results: Of the 1140 articles found, 56 were evaluated in full text. A varied prevalence of anxious and depressive symptoms was found in patients with symptomatic diabetic neuropathy, evaluated using different questionnaires and scales. Some studies found an association between anxiety symptoms, sleep disorders, and inadequate glycemic control. Early education and the management of neuropathic pain have been reported as factors of good prognosis, the latter being the determinants of quality of life and productivity in patients with symptomatic diabetic neuropathy. Conclusion: The relationship between diabetic neuropathy and anxiety symptoms can be bidirectional. Given these findings and their possible impact on the individual and public health, opportunities arise to fill the gaps in primary prevention, early diagnosis, and treatment in this population, which should be defined in future research.",Article,"Botero-Rodriguez, F.; Cruz-Ramirez, V.; Cote, D.; Cespedes, K.; Smith-Velasco, S.; Gomez-Restrepo, C.",diabetic neuropathy; diabetes mellitus; anxiety; public health,diabetic neuropathy;diabetes mellitus;anxiety;public health;HEALTH-CARE COSTS;DEPRESSION;PAIN;ANTIDEPRESSANT;PREVALENCE;DISORDERS;PATTERNS;MODEL,Colombia,
