Pos.,Topic AuthorKeywords,Total,Cited by,EID,Year,Title,Abstract,Document type,Authors,Author keywords,Both keywords,Country,EID2
,,,0,WOS:000788998400003,2022,"N-Acetylcysteine, Immunity and Perspectives in covid-19: A Narrative Review of the Literature","Introduction: N-acetylcysteine (NAC) is one of the drugs that has been proposed in the management of covid-19, this drug has more than 50 years of use in prophylaxis and therapy of several conditions. Objective: To conduct a literature review to collect available evidence on the use of NAC as an adjuvant in immunization and treatment of COVID-19, as well as on its use in other RNA viruses' infections. Methods: We searched Medline and clinicaltrials.gov with the key terms ""n-acetyl cysteine"", ""COVID-19"" and ""vaccination"". Included references were screened for additional relevant papers. Results: The search retrieved 151 references and after screening, 42 were included. Included references included evidence on the theoretical approaches, results of clinical studies and basic experimentation that describe the use of NAC in treatment, prevention of COVID-19, as well as on the mechanisms of action, use, efficacy and safety in this and other infections caused by RNA viruses. Conclusions: the administration of NAC could improve certain clinical outcomes in COVID-19. Additional clinical trials are required to investigate its effectiveness in patients with COVID-19 or during vaccination.",Review,"Conde, D.Y.; Rosselli, D.",coronavirus infections; covid-19; acetylcysteine; vaccination,coronavirus infections;covid-19;acetylcysteine;vaccination;VENTILATOR-ASSOCIATED PNEUMONIA;RESPIRATORY-DISTRESS-SYNDROME;DOUBLE-BLIND;CYSTEINE;VIRUS,Colombia,
,,,0,WOS:000669409700005,2021,Pathophysiological Mechanisms Related to SARS-CoV-2 Infection in People Exposed During 2019 and 2020,"This review describes the pathophysiological mechanisms related to the 2019 Coronavirus infection (COVID-19 or SARS-CoV-2). This virus, discovered in Wuhan-China, had a zoonotic transmission and was later transmitted between humans through aerosols and contaminated surfaces with a high rate of contagion, triggering a Pandemic. Through systematic search in Medline and Embase, studies that point to the general objective were selected. The genome, structure, cell receptor, immune response and spread to other tissues are discussed. In conclusion, the analyzed virus presents factors that influence the severity of the clinical manifestation and the predisposition of older adults and/or comorbidities to present generalized inflammatory phenomena. Although there is evidence of viral presence in the CNS, studies are required to deepen the action of the virus on this and other tissues.",Article,"Domingo, M.J.E.; Domingo, D.P.E.; Correa, S.M.",COVID-19; SARS-CoV-2; coronavirus; physiopathology; mechanisms; coronavirus infections,COVID-19;SARS-CoV-2;coronavirus;physiopathology;mechanisms;coronavirus infections;CONVERTING ENZYME 2;EPIDEMIC,Colombia,
,,,0,WOS:000637022700003,2021,"Perception of Teachers in the Department of Morphological Sciences Regarding the Change from Classroom-Based Teaching to Remote Modality, in the Context of the Crisis Due to the COVID-19 Pandemic","The present article explores teachers ' perceptions of the adjustments required in the teaching - learning processes, due to the abrupt challenges imposed by the COVID-19 pandemic, resulting in the need to impart all academic activities remotely. This descriptive, cross sectional study was conducted by means of a survey, directed at the members of the Department of Morphological Sciences, at the medical school of the Universidad Javeriana in Bogota, Colombia. Despite the results demonstrated difficulties by the teachers to adapt to this new model of teaching through the use of alternative channels of communication and learning, thanks to this challenge all teachers increased their command in information and communication technologies, where Blackboard was the platform of choice. On the other hand, teachers valued the fact that the academic activities were able to stay on course, enriched by new technologies that have now become an integral component of the teaching-learning environment, since they present opportunities of innovation.",Article,"Ludeke, A.K.; Olaya, J.F.G.; Barre, M.C.; Gomaz, M.L.G.; Valencia, P.E.A.; Zuniga, M.C.S.; Cardona, A.G.; Lasso, C.A.M.; Lopez, L.F.G.; Zuluaga, J.A.F.",remote learning; morphology; teachers; COVID-19,remote learning;morphology;teachers;COVID-19;SELF-EFFICACY,Colombia,
,,,0,WOS:000740674300006,2021,Perception of the Theoretical Academic Experience of Residents of Medical Specialties during the COVID-19 Pandemic in a Highly Complex University Hospital,"The COVID-19 pandemic generated profound changes in the learning and medical education processes. These changes were facilitated, in many cases, by virtual learning tools. Undoubtedly, these tools were of great help to guarantee the continuity of the learning processes; however, it is undeniable that they constitute an alternative that does not replace the acquisition of skills in clinical settings. In general, these changes take on greater significance when we talk about clinical practice scenarios in hospitals, mainly due to the restrictions generated by the pandemic, where access to patients and surgical procedures were significantly affected or decreased. This decrease had a direct impact on the training process for residents of medical-surgical specialties worldwide. In this sense, the need arose to know the resident's perception of the different medical-surgical specialties, in the face of the changes generated by the COVID-19 pandemic in their academic training. A survey was conducted among the residents of the San Ignacio University Hospital to find out their perception. In this article, we present the experience of a highly complex university hospital, which is the practice setting for more than 30 medical specialty programs.",Article,"Angulo, R.G.; Almonacid, L.T.; Navarrete, S.H.G.",COVID-19; medical education; virtual learning; medical specialties; residents,COVID-19;medical education;virtual learning;medical specialties;residents;EDUCATION,Colombia,
,,,0,2-s2.0-85138545729,2022,Randomized double-blind clinical study in patients with COVID-19 to evaluate the safety and efficacy of a phytomedicine (P2Et),"Background: It has been proposed that polyphenols can be used in the development of new therapies against COVID-19, given their ability to interfere with the adsorption and entrance processes of the virus, thus disrupting viral replication. Seeds from Caesalpinia spinosa, have been traditionally used for the treatment of inflammatory pathologies and respiratory diseases. Our team has obtained an extract called P2Et, rich in polyphenols derived from gallic acid with significant antioxidant activity, and the ability to induce complete autophagy in tumor cells and reduce the systemic inflammatory response in animal models. Methods: In this work, a phase II multicenter randomized double-blind clinical trial on COVID-19 patients was designed to evaluate the impact of the P2Et treatment on the clinical outcome and the immunological parameters related to the evolution of the disease. The Trial was registered with the number No. NCT04410510*. A complementary study in an animal model of lung fibrosis was carried out to evaluate in situ lung changes after P2Et in vivo administration. The ability of P2Et to inhibit the viral load of murine and human coronaviruses in cellular models was also evaluated. Results: Patients treated with P2Et were discharged on average after 7.4 days of admission vs. 9.6 days in the placebo group. Although a decrease in proinflammatory cytokines such as G-CSF, IL-15, IL-12, IL-6, IP10, MCP-1, MCP-2 and IL-18 was observed in both groups, P2Et decreased to a greater extent G-CSF, IL-6 and IL-18 among others, which are related to lower recovery of patients in the long term. The frequency of T lymphocytes (LT) CD3+, LT double negative (CD3+CD4-CD8-), NK cells increased in the P2Et group where the population of eosinophils was also significantly reduced. In the murine bleomycin model, P2Et also reduced lung inflammation and fibrosis. P2Et was able to reduce the viral replication of murine and human coronaviruses in vitro, showing its dual antiviral and anti-inflammatory role, key in disease control. Conclusions: Taken together these results suggest that P2Et could be consider as a good co-adjuvant in the treatment of COVID-19. Clinical trail registration: https://clinicaltrials.gov/ct2/show/NCT04410510, identifier: NCT04410510.",Article,"Uruena, Claudia.; Ballesteros-Ramirez, R.; Gomez-Cadena, Alejandra.; Barreto, Alfonso.; Prieto, Karol.; Quijano, Sandra.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown.; Garcia-Pena, Angel Alberto.; Fiorentino, Susana",complementary and alternative medicine;COVID-19;immunomodulation;phytomedicine;polymolecular drugs;polyphenols,complementary and alternative medicine;COVID-19;immunomodulation;phytomedicine;polymolecular drugs;polyphenols,Colombia;Colombia;Colombia;Colombia;Switzerland;Brazil;Switzerland;Colombia,
,,,0,WOS:000576477200015,2020,Recommendations for performing interventions during the COVID-19 pandemic,"Coronavirus infection (SARS-CoV-2), is a pandemic disease declared by the World Health Organization (WHO). This disease reports a high risk of contagion, especially by the transmission of aerosols in health care workers. In this scenario, aerosol exposure is increased in various procedures related to the airway, lungs, and pleural space. For this reason, it is important to have recommendations that reduce the risk of exposure and infection with COVID-19. In this document, a team of international specialists in interventional pulmonology elaborated a series of recommendations, based on the available evidence to define the risk stratification, diagnostic methods and technical considerations on procedures such as bronchoscopy, tracheostomy, and pleural procedures among others. As well as the precautions to reduce the risk of contagion when carrying out pulmonary interventions.",Article,"Fernandez-Bussy, S.; Sanchez, O.; Parikh, M.; Paton, A.; Kheir, F.; Chee, A.; Martinez, R.; Gando, S.; Lanza, M.; Canias, A.; Labarca, G.; Garcia, M.A.; Dure, R.; Abia-Trujillo, D.; Garcia, A.O.; Rubinstein, P.; De Oliveira, H.; Flandes, J.; Folch, E.; Majid, A.",Coronavirus; COVID-19; tracheostomy; Bronchoscopy; Interventional pulmonology,Coronavirus;COVID-19;tracheostomy;Bronchoscopy;Interventional pulmonology,United States;Mexico;Argentina;Honduras;Colombia;Chile;Bolivia;Spain;Brazil,2-s2.0-85092370352
,,,0,2-s2.0-85144374423,2022,Research on COVID-19 and its influence on Latin American medical journals impact factor,Introduction: The arrival of the pandemic caused by coronavirus disease (COVID-19) exponentially increased scientific production. Objective: To analyze the influence of COVID-19-related scientific production on the impact factor values of Latin American medical journals. Methods: Journals related to the Medicine categories included in Journal Citation Reports (JCR) were used. Impact factor data from the 2020 and 2021 editions were used to compare the citations received by documents related to COVID-19. Results: A decrease in the impact factor values of the evaluated journals was observed when the citations received by works related to COVID-19 were eliminated. Conclusions: The volume of information published on COVID-19 and the citations received influenced the impact increase in 2021 JCR.,Article,"Gregorio-Chaviano, Orlando.; Peralta-Gonzalez, Ma Josefa.; Lopez-Mesa, Evony K.",Bibliometric indicators;COVID-19;Impact Factor;Journal Citation Reports;Medical journals,Bibliometric indicators;COVID-19;Impact Factor;Journal Citation Reports;Medical journals,Cuba;Colombia,
,,,0,2-s2.0-85096054089,2020,"Restarting care-related activities in the context of COVID-19: Prioritization, protocols, and procedures. experience of a gastroenterology outpatient unit in Bogotá, Colombia","The Colombian Government ordered a mandatory nationwide quarantine in March 2020 due to the spread of the SARS-CoV-2 virus. Since then, outpatient endoscopy units were closed and only urgent procedures were performed in the hospital setting, resulting in a repression of sensitive, priority and elective outpatient endoscopic procedures. The rate of spread of the virus was contained and it did not progress exponentially as in other countries; in the meantime, gastroenterology services were provided in the form of teleconsultation. The mitigation measures and the containment of the virus allowed the Mayor’s Office of Bogotá and the National Government to issue notices with recommendations for the provision of some regulated outpatient services in May 2020, thus creating a window of opportunity to care for patients with sensitive diseases. Under this legal and epidemiological framework, the provision of digestive endoscopy services was restarted at EMDIAGNOSTICA S.A.S. This study presents the strategies for scheduling and performing endoscopic procedures in an outpatient gastroenterology unit during COVID-19 pandemia in Colombia and describes a system for prioritizing procedures according to medical criteria, ranging from care by teleconsultation and/ or an application of a telephone survey and the use of a medically necessary, time-sensitive (MENTS) scale adapted for digestive endoscopy. It also describes changes in infrastructure, methodology implemented for protection of human talent and patients, and post procedure follow-up for feedback, safety and satisfaction degree evaluation in care.",Article,"Unknown.; Unknown.; Lizarazo-Rodriguez, Jorge.; Unknown",COVID-19;Endoscopy;Quality;Safety;SARS-CoV-2;Sedation,COVID-19;Endoscopy;Quality;Safety;SARS-CoV-2;Sedation,Colombia;Colombia;Colombia,
,,,0,2-s2.0-85143297898,2022,Role of the arts in the life and mental health of young people that participate in artistic organizations in Colombia: a qualitative study,"Background: Adolescents and young adults are vulnerable to developing mental distress. However, evidence suggests that more than half of the young people with symptoms of depression and anxiety overcome their distress within a year. However, there is little research on the exact resources that young people use and help them to recover. The aim of this study was to explore how arts activities can support the recovery of young people engaged with arts organizations in Bogota. Methods: We recruited 38 participants from two arts organizations in Bogotá and conducted six focus groups embedded within artistic workshops. The type of activities in the workshops varied reflecting the different teaching methods of the two organizations. The focus group discussions were recorded and analyzed using thematic analysis. Results: Five themes explained how arts activities can help young people participating in artistic organizations to overcome mental distress: i) allowing the expression of emotions; ii) helping to manage and transform emotions; iii) distracting from problems; iv) facilitating social support and relationships; and v) contributing to the identity of young people. Conclusions: For young people who participate in artistic organizations, the arts are a resource for overcoming negative emotions such as anxiety, depression, and sadness. The beneficial role of arts activities includes different process of managing, expressing, and distracting from distress, and it differs depending on whether arts are perceived as a professional vocation or a hobby.",Article,"Gomez-Restrepo, Carlos.; Casasbuenas, Natalia Godoy.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown.; Unknown",Adolescence;Anxiety;Art;COVID-19;Depression;Mental health;Resilience,Adolescence;Anxiety;Art;COVID-19;Depression;Mental health;Resilience,Colombia;Colombia;United Kingdom,
,,,0,2-s2.0-85138382181,2022,Satisfaction of business students with the quality of classes during the pandemic: A mixed study in the Latin American context,"Emergency remote education (ERD) adopted by universities amidst the COVID-19 pandemic has pursued to maintain students’ satisfaction. The current research inquiries into perception of the satisfaction towards the quality of classes during ERD. The research is carried out through a mixed sequential approach. Six focus groups in its qualitative phase, and 2074 students from the business undergraduate program in Colombia, Peru, and Mexico in its quantitative phase. Measure of satisfaction towards ERD establishes three dimensions: Concerns about academic quality, teaching strategies used by professors, and perceptions of access limitations. This study identifies a moderating effect of the perceptions of access limitations on the relationship of the teaching strategies and concerns about academic quality. In high constraints, =.-016, p < 0.0001, the relationship is weaker than medium constraints, = −0.22, p < 0.0001. In turn, the medium access limitation condition shows a weaker effect than the high limitation condition, = −0.28, p < 0.0001.",Article,"Villa Castano, Lida Esperanza.; Duran, William Fernando",COVID-19;Emergency remote teaching (ERT);Latin America;satisfaction,COVID-19;Emergency remote teaching (ERT);Latin America;satisfaction,Colombia;Colombia,
,,,0,2-s2.0-85141846283,2022,Scientific production on medicinal plants and their efficacy against Covid-19: A review and scientometric analysis based on VOSviewer,"Historically, numerous plants have been used to alleviate various diseases, particularly viral diseases (bronchitis, influenza virus and dengue virus). This review evaluated their therapeutic potential against Covid-19 and mapped the 10 most studied plants during the pandemic. The standardized protocol for systematic reviews (PRISMA-P) was developed in this study. All studies involving medicinal plants and their potential against Covid-19 infection were also considered. Two specific search fields “traditional medicine and Covid-19” and “medicinal plants and Covid-19” with appearance in the title, abstract and keywords were used to search for information. Only papers (review and original) published between 2020 and October 2021 were included. Short communications, letters to the editor, books and book chapters were excluded. A total of 24,046 articles were recorded among the four databases and an increase of 69% in publications for the 2021 search date, a higher percentage compared to the previous year (31%). China was the country with the highest production with 28% (2725 papers). The analysis of variance showed that the number of studies of Nigella sativa L. (1.62 ± 0.21; p = 0.02), Glycyrrhiza glabra L. (1.50 ± 0.32; p = 0.03), Zingiber officinale Roscoe (1.51 ± 0.32; p = 0.03) were statistically significant with respect to the other species. This is probably because these species show compounds with high antiviral spectrum. Despite the pharmacological potential found in medicinal plants, more large-scale clinical trials are still needed to demonstrate the efficacy of phytocompounds against viral diseases.",Review,"Unknown.; Baron, Pablo Andres Ramos.; Marrugo-Negrete, Jose.; Unknown.; Unknown",Covid-19;Medicine plants;Scientometric;Traditional medicinal;VOSviewer,Covid-19;Medicine plants;Scientometric;Traditional medicinal;VOSviewer,Colombia;Colombia;Mexico,
,,,0,WOS:000787138200009,2022,Social Economy and covid-19: An international approach,"The health crisis caused by the covid-19 pandemic has affected the entire world population globally and the consequences have been different in each country. Predictably, the most vulnerable populations have suffered the most devastating consequences in terms of health, unemployment and increased inequality. In some countries the informal economy has become larger than the formal economy. The Social and Solidarity Economy (hereafter SSE) has also suffered the consequences caused by covid-19, but it has also been a response to the multiple situations that have occurred in all countries. The aim of this paper is to examine the role of the SSE at the international level by looking at two issues: one, to examine the responses of the SSE to the crisis caused by the covid-19 pandemic and two, to analyse the role of the SSE in future social and economic recovery. To this end, a comparative analysis is made of the responses, strategies and role of the social economy in different territories, Quebec, Colombia and Spain.",Article,"Alvarez, J.F.; Bouchard, M.J.; Marcuello, C.",Social Economy; International Approach; COVID-19,Social Economy;International Approach;COVID-19,Colombia;Canada;Spain,
,,,0,2-s2.0-85150252274,2022,Telepsychology in an University Psychological Care Center during COVID-19: Consultants and Students’ Experiences,"During the last decades, the use of Telepsychology as a tool for mental health care has experienced a significant rise worldwide. Despite the existence of teleconsultation services in Colombia, few studies about it have been published. As a result of the health crisis caused by the COVID-19 pandemic, the Telepsychology care service was implemented in a university psychological care center. The goal of this study is to characterize the care experiences of the Telepsychology modality from the point of view of the consultants and students in their clinical practice. This with the purpose of enhancing the knowledge in this area and contributing to the evaluation of the viability of these services. A descriptive characterization study was carried out, with a cross-sectional design. The research team elaborated a questionnaire, that was answered by 253 consultants and 77 students. The information obtained evidenced that Telepsychology care achieved high levels of satisfaction with the treatment received, the possibility of establishing a therapeutic bond and the development of clinical skills in students. Therefore, this care modality was an alternative to remove boundaries to health care. Followup studies at different times of the process are suggested for greater reliability of the results",Article,"Llamas, Tatiana Colon.; Unknown.; Unknown.; Jaimes, Milton E.Bermudez.; Unknown.; Unknown",COVID-19;mental health;psychological attention;telehealth;telemental health;telepsychology,COVID-19;mental health;psychological attention;telehealth;telemental health;telepsychology,Colombia,
,,,0,2-s2.0-85108011890,2021,The collateral impact of covid19 among surgeons and residents: Second cross-sectional survey about the colombian perspective,"Introduction. The COVID-19 pandemic has led health services to adapt, surgical training has had to restructure, and personal life has had to thrive hardships. We aimed to describe the evolution of surgeons' and residents' per-ceptions about the impact COVID-19 has had on Colombia's surgical practice. Methods. Descriptive cross-sectional study using a structured electronic survey among general surgery residents, and graduated surgeons who have a clinical practice in Colombia. Results. 355 participants were included, with a median age of 37 years (IQR 30, 51), and 32.1% female. There were 28.7% residents, 43.3% general surgeons, and 27.8% subespecialist in surgery. Overall, 48.7% of respondents were from Bogotá, and 38.8% worked at academic private hospitals. Although almost all participants reported having used telemedicine platforms during the pandemic, 58% of the respondents did not view telemedicine as sufficient for follow-up consults. More than 80% of surgeons surveyed reported that their monthly incomes had been reduced. Discussion. The second survey showed a better-perceived adherence to safety protocols at their institutions than at the beginning of the pandemic. However, the toll on economic and academic domains are substantial among the surgical community. As the pandemic's effects are expected to last longer in our region, telemedicine services acceptance and healthcare providers' job stability need to be improved in Colombia.",Article,"Diaz-Castrillon, Carlos E.; Unknown.; Unknown.; Unknown.; Unknown",Colombia;Coronavirus infections;COVID-19;General surgery;Health postgraduate programs;Pandemics;Perception;Surveys and questionnaires,Colombia;Coronavirus infections;COVID-19;General surgery;Health postgraduate programs;Pandemics;Perception;Surveys and questionnaires,Colombia;United States;United States;Colombia,
,,,0,2-s2.0-85130505138,2022,"The impact of Covid-19 on Latin American Psychology: Research, profession, and public policy","In this paper, we offer an in-depth analysis of relevant scientific literature and a series of critical reflections based on a narrative review of the impact that the early stages of the Covid-19 pandemic had on Latin American psychology. We performed a non-exhaustive search, selection, and analysis of different documentary sources in scientific databases, institutional repositories, and websites of national and regional psychology organizations between May 25 and 31, 2020. In particular, we consulted SciELO, Redalyc, Dialnet, and Google Scholar using the following individual key words associated to psychology: “Coronavirus”, “Covid-19” and “Pandemic”. Various types of documents were retrieved for a subsequent in-depth analysis (e.g., articles, institutional documents, notes, bulletins, recommendation guides, etc.). Our review allowed us to identify three challenges for psychology in the region: (1) insertion of psychology in public policies; (2) construction of an own agenda of psychological research; (3) evaluation of practices and reorientation of professional training processes.",Article,"Gallegos, Miguel.; Calatayud, Francisco Morales.; Unknown.; Lopez-Lopez, Wilson.; Unknown.; Unknown.; Unknown.; Unknown",América Latina;Covid-19;Covid-19;Intervenção psicossocial.;Latin America;Mental health;Psicologia;Psychology;Psychosocial intervention;Saúde mental,América Latina;Covid-19;Intervenção psicossocial.;Latin America;Mental health;Psicologia;Psychology;Psychosocial intervention;Saúde mental,Uruguay;Colombia;Brazil;United States;Argentina;Argentina;Argentina;Chile;Chile;Argentina;Argentina,
,,,0,2-s2.0-85130505138,2022,"The impact of Covid-19 on Latin American Psychology: Research, profession, and public policy","In this paper, we offer an in-depth analysis of relevant scientific literature and a series of critical reflections based on a narrative review of the impact that the early stages of the Covid-19 pandemic had on Latin American psychology. We performed a non-exhaustive search, selection, and analysis of different documentary sources in scientific databases, institutional repositories, and websites of national and regional psychology organizations between May 25 and 31, 2020. In particular, we consulted SciELO, Redalyc, Dialnet, and Google Scholar using the following individual key words associated to psychology: “Coronavirus”, “Covid-19” and “Pandemic”. Various types of documents were retrieved for a subsequent in-depth analysis (e.g., articles, institutional documents, notes, bulletins, recommendation guides, etc.). Our review allowed us to identify three challenges for psychology in the region: (1) insertion of psychology in public policies; (2) construction of an own agenda of psychological research; (3) evaluation of practices and reorientation of professional training processes.",Article,"Gallegos, Miguel.; Calatayud, Francisco Morales.; Unknown.; Lopez-Lopez, Wilson.; Unknown.; Unknown.; Unknown.; Unknown",América Latina;Covid-19;Covid-19;Intervenção psicossocial.;Latin America;Mental health;Psicologia;Psychology;Psychosocial intervention;Saúde mental,América Latina;Covid-19;Intervenção psicossocial.;Latin America;Mental health;Psicologia;Psychology;Psychosocial intervention;Saúde mental,Uruguay;Colombia;Brazil;United States;Argentina;Argentina;Argentina;Chile;Chile;Argentina;Argentina,
,,,0,WOS:000800191400001,2022,Validation of the PESI Scale to Predict in-Hospital Mortality in Patients with Pulmonary Thromboembolism Secondary to SARS CoV-2 Infection,"Objective To evaluate the discriminative ability and the calibration of the Pulmonary Embolism Severity Index (PESI) to predict in-hospital mortality in patients with Pulmonary Embolism (PE) secondary to COVID 19 in two hospitals in Bogota. Methods External validation study of a prediction model based on a retrospective cohort of patients with PE secondary to COVID-19 treated at Hospital Universitario San Ignacio and Hospital universitario La Samaritana, between March 2020 and August 2021. Calibration of the scale was evaluated using the Hosmer-Lemeshow test and a calibration belt diagram. Discrimination ability was evaluated using a ROC curve. Results 272 patients were included (median age 61.5 years, male 58.8%). PE was diagnosed in 45.6% of the patients at the time of admission. Of the remaining 54.4%, 95.9% received thromboprophylaxis until the time of diagnosis.17.6% of the patients died. Regarding calibration, the scale systematically underestimates risk in all classes of PESI. For class I, the ratio of observed/expected events was 4.4 vs 0.8%, class II 4.8 vs 1.8%, class III 15.2 vs 4.2%, class IV 14.3 vs 5.9% and class V 46.7 vs 5.8%. The calibration test rejected the adequate calibration hypothesis (p < 0.001). The discriminatory ability was adequate (AUC = 0.7128, 95% CI 0.63-0.79). Conclusions The PESI scale in patients with PE secondary to COVID 19 underestimates the risk of in-hospital mortality, while maintaining adequate discrimination. It is suggested not to use the PESI scale until it is recalibrated in this context.",Article,"Munoz, O.M.; Ruiz-Talero, P.; Hernandez-Florez, C.; Lombo-Moreno, C.E.; Casallas-Rivera, M.A.; Mayorga-Hernandez, C.A.",pulmonary embolism; COVID-19; calibration; Colombia,pulmonary embolism;COVID-19;calibration;Colombia;PROGNOSTIC MODEL;EMBOLISM,Colombia,2-s2.0-85130394653
4,epidemiology,92,,,,,,,,,,,
,,,722,WOS:000317583700019,2013,The Prevalence and Correlates of Binge Eating Disorder in the World Health Organization World Mental Health Surveys,"Background: Little population-based data exist outside the United States on the epidemiology of binge eating disorder (BED). Cross-national BED data are presented here and compared with bulimia nervosa (BN) data in the World Health Organization (WHO) World Mental Health Surveys. Methods: Community surveys with 24,124 respondents (ages 18+) across 14 mostly upper-middle and high-income countries assessed lifetime and 12-month DSM-IV mental disorders with the WHO Composite International Diagnostic Interview. Physical disorders were assessed with a chronic conditions checklist. Results: Country-specific lifetime prevalence estimates are consistently (median; interquartile range) higher for BED (1.4%;.8-1.9%) than BN (.8%; .4-1.0%). Median age of onset is in the late teens to early 20s for both disorders but slightly younger for BN. Persistence is slightly higher for BN (6.5 years; 2.2-15.4) than BED (4.3 years; 1.0-11.7). Lifetime risk of both disorders is elevated for women and recent cohorts. Retrospective reports suggest that comorbid DSM-IV disorders predict subsequent onset of BN somewhat more strongly than BED and that BN predicts subsequent comorbid disorders somewhat more strongly than does BED. Significant comorbidities with physical conditions are due almost entirely to BN and to a somewhat lesser degree BED predicting subsequent onset of these conditions. Role impairments are similar for BN and BED. Fewer than half of lifetime BN or BED cases receive treatment. Conclusions: Binge eating disorder represents a public health problem at least equal to BN. Low treatment rates highlight the clinical importance of questioning patients about eating problems even when not included among presenting complaints.",Article,"Kessler, R.C.; Berglund, P.A.; Chiu, W.T.; Deitz, A.C.; Hudson, J.I.; Shahly, V.; Aguilar-Gaxiola, S.; Alonso, J.; Angermeyer, M.C.; Benjet, C.; Bruffaerts, R.; de Girolamo, G.; de Graaf, R.; Haro, J.M.; Kovess-Masfety, V.; O'Neill, S.; Posada-Villa, J.; Sasu, C.; Scott, K.; Viana, M.C.; Xavier, M.",Binge eating disorder; bulimia nervosa; comorbidity; epidemiology; treatment; WHO World Mental Health Surveys,Binge eating disorder;bulimia nervosa;comorbidity;epidemiology;treatment;WHO World Mental Health Surveys;WEIGHT-CONTROL BEHAVIORS;BULIMIA-NERVOSA;COMMUNITY SAMPLE;GENERAL-POPULATION;ANOREXIA-NERVOSA;PRIMARY-CARE;RISK-FACTORS;LIFETIME PREVALENCE;SERVICE UTILIZATION;NATURAL COURSE,United States;Spain;Austria;Mexico;Belgium;Italy;Netherlands;France;North Ireland;Colombia;Romania;New Zealand;Brazil;Portugal,2-s2.0-84876287005
,,,350,WOS:000600644700026,2021,"Worldwide Prevalence and Burden of Functional Gastrointestinal Disorders, Results of Rome Foundation Global Study","BACKGROUND & AIMS: Although functional gastrointestinal disorders (FGIDs), now called disorders of gut-brain interaction, have major economic effects on health care systems and adversely affect quality of life, little is known about their global prevalence and distribution. We investigated the prevalence of and factors associated with 22 FGIDs, in 33 countries on 6 continents. METHODS: Data were collected via the Internet in 24 countries, personal interviews in 7 countries, and both in 2 countries, using the Rome IV diagnostic questionnaire, Rome III irritable bowel syndrome questions, and 80 items to identify variables associated with FGIDs. Data collection methods differed for Internet and household groups, so data analyses were conducted and reported separately. RESULTS: Among the 73,076 adult respondents (49.5% women), diagnostic criteria were met for at least 1 FGID by 40.3% persons who completed the Internet surveys (95% confidence interval [CI], 39.9-40.7) and 20.7% of persons who completed the household surveys (95% CI, 20.2-21.3). FGIDs were more prevalent among women than men, based on responses to the Internet survey (odds ratio, 1.7; 95% CI, 1.6-1.7) and household survey (odds ratio, 1.3; 95% CI, 1.3-1.4). FGIDs were associated with lower quality of life and more frequent doctor visits. Proportions of subjects with irritable bowel syndrome were lower when the Rome IV criteria were used, compared with the Rome III criteria, in the Internet survey (4.1% vs 10.1%) and household survey (1.5% vs 3.5%). CONCLUSIONS: In a large-scale multinational study, we found that more than 40% of persons worldwide have FGIDs, which affect quality of life and health care use. Although the absolute prevalence was higher among Internet respondents, similar trends and relative distributions were found in people who completed Internet vs personal interviews.",Article,"Sperber, A.D.; Bangdiwala, S.I.; Drossman, D.A.; Ghoshal, U.C.; Simren, M.; Tack, J.; Whitehead, W.E.; Dumitrascu, D.L.; Fang, X.C.; Fukudo, S.; Kellow, J.; Okeke, E.; Quigley, E.M.M.; Schmulson, M.; Whorwell, P.; Archampong, T.; Adibi, P.; Andresen, V.; Benninga, M.A.; Bonaz, B.; Bor, S.; Fernandez, L.B.; Choi, S.C.; Corazziari, E.S.; Francisconi, C.; Hani, A.; Lazebnik, L.; Lee, Y.Y.; Mulak, A.; Rahman, M.M.; Santos, J.; Setshedi, M.; Syam, A.F.; Vanner, S.; Wong, R.K.; Lopez-Colombo, A.; Costa, V.; Dickman, R.; Kanazawa, M.; Keshteli, A.H.; Khatun, R.; Maleki, I.; Poitras, P.; Pratap, N.; Stefanyuk, O.; Thomson, S.; Zeevenhooven, J.; Palsson, O.S.",DGBI; IBS; epidemiology,DGBI;IBS;epidemiology;IRRITABLE-BOWEL-SYNDROME;IV DIAGNOSTIC QUESTIONNAIRE;RISK-FACTORS;SEVERITY;CRITERIA,Israel;Canada;United States;India;Sweden;Belgium;Romania;China;Japan;Australia;Nigeria;Mexico;United Kingdom;Ghana;Iran;Germany;Netherlands;France;Turkey;Argentina;South Korea;Italy;Brazil;Colombia;Russian Federation;Malaysia;Poland;Bangladesh;Spain;South Africa;Indonesia;Singapore,
